timestamp,pair,longAccount,shortAccount,longShortRatio,sumOpenInterest,OI-%chg,close,volume,symbol,fundingRate
2022-12-08 09:00:00,BTCUSD,0.6959,0.3041,2.2884,3484383,0.00274678284287688,16810.7,86389,BTCUSD_PERP,-0.00000523
2022-12-08 08:00:00,BTCUSD,0.6971,0.3029,2.3014,3493967,-0.00140282845548612,16830.1,113764,BTCUSD_PERP,-0.00000523
2022-12-08 07:00:00,BTCUSD,0.6971,0.3029,2.3014,3489069,-0.00259143782918869,16819.5,211793,BTCUSD_PERP,-0.00000523
2022-12-08 06:00:00,BTCUSD,0.6964,0.3036,2.2938,3480039,0.00100695282666052,16798.7,150184,BTCUSD_PERP,-0.00000523
2022-12-08 05:00:00,BTCUSD,0.6975,0.3025,2.3058,3483545,-0.00162092749534892,16815,134970,BTCUSD_PERP,-0.00000523
2022-12-08 04:00:00,BTCUSD,0.6985,0.3015,2.3167,3477903,-0.000646000056979901,16807.5,170406,BTCUSD_PERP,-0.00000523
2022-12-08 03:00:00,BTCUSD,0.6962,0.3038,2.2916,3475657,0.00603499675228925,16825.8,146205,BTCUSD_PERP,-0.00000523
2022-12-08 02:00:00,BTCUSD,0.6962,0.3038,2.2916,3496696,0.000464902314556426,16836.5,283742,BTCUSD_PERP,-0.00000523
2022-12-08 01:00:00,BTCUSD,0.6987,0.3013,2.319,3498322,0.00100597637253941,16821.8,280750,BTCUSD_PERP,-0.00002246
2022-12-08 00:00:00,BTCUSD,0.6983,0.3017,2.3146,3501843,-0.00187448390832223,16805.8,272314,BTCUSD_PERP,-0.00002246
2022-12-07 23:00:00,BTCUSD,0.698,0.302,2.3113,3495285,0.00475965350207908,16826,193150,BTCUSD_PERP,-0.00002246
2022-12-07 22:00:00,BTCUSD,0.6979,0.3021,2.3102,3511961,-0.00381911402524437,16837.6,227924,BTCUSD_PERP,-0.00002246
2022-12-07 21:00:00,BTCUSD,0.6993,0.3007,2.3256,3498574,0.0018855615958735,16824.9,197092,BTCUSD_PERP,-0.00002246
2022-12-07 20:00:00,BTCUSD,0.6997,0.3003,2.33,3505177,-0.00295514036391964,16816,142969,BTCUSD_PERP,-0.00002246
2022-12-07 19:00:00,BTCUSD,0.7006,0.2994,2.34,3494834,0.00385369257483426,16809.9,170803,BTCUSD_PERP,-0.00002246
2022-12-07 18:00:00,BTCUSD,0.6998,0.3002,2.3311,3508328,-0.00164686853418594,16780,169683,BTCUSD_PERP,-0.00002246
2022-12-07 17:00:00,BTCUSD,0.6994,0.3006,2.3267,3502555,-0.00339127243366555,16795.7,231271,BTCUSD_PERP,-0.00003724
2022-12-07 16:00:00,BTCUSD,0.6993,0.3007,2.3256,3490697,-0.00040659171975399,16804,317630,BTCUSD_PERP,-0.00003724
2022-12-07 15:00:00,BTCUSD,0.6988,0.3012,2.3201,3489278,0.000287697220720418,16831.5,423322,BTCUSD_PERP,-0.00003724
2022-12-07 14:00:00,BTCUSD,0.6996,0.3004,2.3289,3490282,-0.0011254705817958,16833.6,410134,BTCUSD_PERP,-0.00003724
2022-12-07 13:00:00,BTCUSD,0.6981,0.3019,2.3124,3486356,-0.000849958801483197,16851.9,489153,BTCUSD_PERP,-0.00003724
2022-12-07 12:00:00,BTCUSD,0.6986,0.3014,2.3179,3483394,0.00565802699227902,16785,257886,BTCUSD_PERP,-0.00003724
